,black,white,BLACK_SCORE,WHITE_SCORE,WINNER,DIFFERENCE
0,random,random,39.333333333333336,24.666666666666668,black,0.22916666666666669
1,random,greedy,36.666666666666664,27.333333333333332,black,0.14583333333333331
2,greedy,random,40.0,24.0,black,0.25
3,random,minimax,13.666666666666666,50.0,white,0.5706806282722514
4,minimax,random,31.0,19.333333333333332,black,0.23178807947019872
5,random,expectimax,21.333333333333332,42.333333333333336,white,0.3298429319371728
6,expectimax,random,44.666666666666664,10.0,black,0.6341463414634146
7,random,ids,32.333333333333336,31.666666666666668,black,0.010416666666666685
8,ids,random,34.666666666666664,29.333333333333332,black,0.08333333333333331
9,random,alphabeta,45.666666666666664,18.333333333333332,black,0.4270833333333333
10,alphabeta,random,13.0,51.0,white,0.59375
11,greedy,greedy,28.0,36.0,white,0.125
12,greedy,minimax,15.0,49.0,white,0.53125
13,minimax,greedy,54.0,10.0,black,0.6875
14,greedy,expectimax,18.0,46.0,white,0.4375
15,expectimax,greedy,48.0,16.0,black,0.5
16,greedy,ids,28.0,36.0,white,0.125
17,ids,greedy,28.0,36.0,white,0.125
18,greedy,alphabeta,40.0,24.0,black,0.25
19,alphabeta,greedy,28.0,36.0,white,0.125
20,minimax,minimax,14.0,50.0,white,0.5625
21,minimax,expectimax,31.0,33.0,white,0.03125
22,expectimax,minimax,37.0,27.0,black,0.15625
23,minimax,ids,37.0,27.0,black,0.15625
24,ids,minimax,42.0,22.0,black,0.3125
25,minimax,alphabeta,55.0,7.0,black,0.7741935483870968
26,alphabeta,minimax,34.0,30.0,black,0.0625
27,expectimax,expectimax,7.0,57.0,white,0.78125
28,expectimax,ids,52.0,12.0,black,0.625
29,ids,expectimax,5.0,59.0,white,0.84375
30,expectimax,alphabeta,33.0,31.0,black,0.03125
31,alphabeta,expectimax,4.0,58.0,white,0.8709677419354839
32,ids,ids,48.0,16.0,black,0.5
33,ids,alphabeta,41.0,23.0,black,0.28125
34,alphabeta,ids,17.0,47.0,white,0.46875
35,alphabeta,alphabeta,17.0,47.0,white,0.46875
